TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
GitLab	gilab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.13	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
GitLab	gitlabz.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	172.67.181.225,104.21.31.253,2606:4700:3033::ac43:b5e1,2606:4700:3035::6815:1ffd	https	200	gitlabz.com	0.23	0.01	Unknown	cloudflare	
GitLab	gitlah.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.13	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
GitLab	gitlub.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.13	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
GitLab	gizlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c606:78d4:4260:db4e:aeee,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb	https	200	www.hugedomains.com	0.13	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
GitLab	hitlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	72.167.242.158	https	200	hitlab.com	0.20	0.01	Unknown	cloudflare	
Okta	kta.com	LOW_MATCH	2	okta.com	www.okta.com	162.159.134.42	https	200	kta.com	0.25	0.01	Unknown	cloudflare	
Okta	oktac.com	LOW_MATCH	2	okta.com	www.okta.com	52.20.84.62	https	200	domains.atom.com	0.27	0.01	Unknown	cloudflare	redirects to domains.atom.com
Okta	oktax.com	LOW_MATCH	2	okta.com	www.okta.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.31	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
Okta	omta.com	LOW_MATCH	2	okta.com	www.okta.com	104.18.185.50	https	200	omta.com	0.24	0.01	Unknown	cloudflare	
